División,Edad,Rango de Nacimiento
Prenursery,2 Años,01 - Ago 2023 - 31 Jul 2024
Nursery,3 Años,01 - Ago 2022 - 31 Jul 2023
Preschool,4 Años,01 - Ago 2021 - 31 Jul 2022
Kindergarten,5 Años,01 - Ago 2020 - 31 Jul 2021
Primaria 1,6 Años,01 - Ago 2019 - 31 Jul 2020
Primaria 2,7 Años,01 - Ago 2018 - 31 Jul 2019
Primaria 3,8 Años,01 - Ago 2017 - 31 Jul 2018
Primaria 4,9 Años,01 - Ago 2016 - 31 Jul 2017
Primaria 5,10 Años,01 - Ago 2015 - 31 Jul 2016
Primaria 6,11 Años,01 - Ago 2014 - 31 Jul 2015
Secundaria 1,12 Años,01 - Ago 2013 - 31 Jul 2014
Secundaria 2,13 Años,01 - Ago 2012 - 31 Jul 2013
Secundaria 3,14 Años,01 - Ago 2011 - 31 Jul 2012
Bachillerato 1,15 Años,01 - Ago 2010 - 31 Jul 2011
Bachilletato 2,16 Años,01 - Ago 2009 - 31 Jul 2010
Bachillerato 3,17 Años,01 - Ago 2008 - 31 Jul 2009